"SSD" "CFU" "LAUREA" "MATERIA" "STUDIO_TOT" "RAPP_CFU" "VOTO" "LEZIONI" "STUDIO_PERS"
"605" "SECS-S/01" 10 "sse" "14458" 260 1.04 26 54 180
"1417" "INF/01" 6 "sigad" "14292" 362 2.413333333 30 30 270
"431" "SECS-S/01" 10 "sse" "14452" 195 0.78 26 70 125
"1487" "IUS/01" 4 "sigad" "14116" 128 1.28 24 30 90
"829" "MAT/06" 9 "siap" "10064" 397 1.764444444 26 68 300
"26" "SECS-S/01" 9 "siap" "10182" 193 0.857777778 21 68 110
"1418" "INF/01" 6 "sigad" "14292" 150 1 26 34 80
"423" "SECS-S/01" 10 "sse" "14452" 260 1.04 28 66 150
"346" "MAT/06" 10 "sse" "14040" 195 0.78 24 80 100
"94" "SECS-S/05" 9 "siap" "10184" 212 0.942222222 22 62 150
"963" "L-LIN/12" 11 "sse" "15484" 530 1.927272727 20 30 480
"634" "SECS-S/01" 12 "sse" "14452" 346 1.153333333 24 24 300
"3" "MAT/06" 9 "siap" "10064" 210 0.933333333 18 70 120
