pilota;indice;primaguida;Scuderia;Tempo;Tempo ora;gp;data
COULTHARD;1;;(McLaren);0,0010521990740741;0,0011;AUSTRALIA ;12 marzo 2000
COULTHARD;1;;(McLaren);0,0008597800925926;0,0009;BRASILE ;26 marzo 2000
COULTHARD;1;;(McLaren);0,0009839583333333;0,0010;SANMARINO;9 aprile 2000
COULTHARD;1;;(McLaren);0,0009963888888889;0,0010;GRAN BRETAGNA;23 aprile 2000
COULTHARD;1;;(McLaren);0,0009423842592593;0,0009;SPAGNA;7 maggio 2000
COULTHARD;1;;(McLaren);0,0008973263888889;0,0009;EUROPA;21 maggio 2000
COULTHARD;1;;(McLaren);0,0009246296296296;0,0009;MONACO (MONTECARLO);4 giugno 2000
COULTHARD;1;;(McLaren);0,0009089930555556;0,0009;CANADA ;18 giugno 2000
COULTHARD;1;;(McLaren);0,0008765509259259;0,0009;FRANCIA;2 luglio 2000
COULTHARD;1;;(McLaren);0,0008193865740741;0,0008;AUSTRIA ;16 luglio 2000
COULTHARD;1;;(McLaren);0,0012233449074074;0,0012;GERMANIA;30 luglio 2000
COULTHARD;1;;(McLaren);0,0009014583333333;0,0009;UNGHERIA ;13 agosto 2000
COULTHARD;1;;(McLaren);0,0012915162037037;0,0013;BELGIAN;27 agosto 2000
COULTHARD;1;;(McLaren);0,0009755787037037;0,0010;ITALIAN;10 settembre 2000
COULTHARD;1;;(McLaren);0,0008610185185185;0,0009;USA ;24 settembre 2000
COULTHARD;1;;(McLaren);0,0011138425925926;0,0011;GIAPPONE ;8 ottobre 2000
COULTHARD;1;;(McLaren);0,0011329745370370;0,0011;MALESIA ;22 ottobre 2000
HAKKINEN;1;1;(McLaren);0,0010481018518519;0,0010;AUSTRALIA ;12 marzo 2000
HAKKINEN;1;1;(McLaren);0,0008577662037037;0,0009;BRASILE ;26 marzo 2000
HAKKINEN;1;1;(McLaren);0,0009804861111111;0,0010;SANMARINO;9 aprile 2000
HAKKINEN;1;1;(McLaren);0,0009923726851852;0,0010;GRAN BRETAGNA;23 aprile 2000
HAKKINEN;1;1;(McLaren);0,0009381018518519;0,0009;SPAGNA;7 maggio 2000
HAKKINEN;1;1;(McLaren);0,0009002893518519;0,0009;EUROPA;21 maggio 2000
HAKKINEN;1;1;(McLaren);0,0009287152777778;0,0009;MONACO (MONTECARLO);4 giugno 2000
HAKKINEN;1;1;(McLaren);0,0009141782407407;0,0009;CANADA ;18 giugno 2000
HAKKINEN;1;1;(McLaren);0,0008802083333333;0,0009;FRANCIA;2 luglio 2000
HAKKINEN;1;1;(McLaren);0,0008149305555556;0,0008;AUSTRIA ;16 luglio 2000
HAKKINEN;1;1;(McLaren);0,0012403009259259;0,0012;GERMANIA;30 luglio 2000
HAKKINEN;1;1;(McLaren);0,0009018750000000;0,0009;UNGHERIA ;13 agosto 2000
HAKKINEN;1;1;(McLaren);0,0012806250000000;0,0013;BELGIAN;27 agosto 2000
HAKKINEN;1;1;(McLaren);0,0009718402777778;0,0010;ITALIAN;10 settembre 2000
HAKKINEN;1;1;(McLaren);0,0008614351851852;0,0009;USA ;24 settembre 2000
HAKKINEN;1;1;(McLaren);0,0011091898148148;0,0011;GIAPPONE ;8 ottobre 2000
HAKKINEN;1;1;(McLaren);0,0011326388888889;0,0011;MALESIA ;22 ottobre 2000
GENE;1;1;(Minardi);0,0010794097222222;0,0011;AUSTRALIA ;12 marzo 2000
GENE;1;1;(Minardi);0,0008840277777778;0,0009;BRASILE ;26 marzo 2000
GENE;1;1;(Minardi);0,0010223726851852;0,0010;SANMARINO;9 aprile 2000
GENE;1;1;(Minardi);0,0010214467592593;0,0010;GRAN BRETAGNA;23 aprile 2000
GENE;1;1;(Minardi);0,0009662731481481;0,0010;SPAGNA;7 maggio 2000
GENE;1;1;(Minardi);0,0009278009259259;0,0009;EUROPA;21 maggio 2000
GENE;1;1;(Minardi);0,0009689930555556;0,0010;MONACO (MONTECARLO);4 giugno 2000
GENE;1;1;(Minardi);0,0009381712962963;0,0009;CANADA ;18 giugno 2000
GENE;1;1;(Minardi);0,0009042824074074;0,0009;FRANCIA;2 luglio 2000
GENE;1;1;(Minardi);0,0008416898148148;0,0008;AUSTRIA ;16 luglio 2000
GENE;1;1;(Minardi);0,0013089583333333;0,0013;GERMANIA;30 luglio 2000
GENE;1;1;(Minardi);0,0009334953703704;0,0009;UNGHERIA ;13 agosto 2000
GENE;1;1;(Minardi);0,0013273148148148;0,0013;BELGIAN;27 agosto 2000
GENE;1;1;(Minardi);0,0009992592592593;0,0010;ITALIAN;10 settembre 2000
GENE;1;1;(Minardi);0,0008930671296296;0,0009;USA ;24 settembre 2000
GENE;1;1;(Minardi);0,0011570833333333;0,0012;GIAPPONE ;8 ottobre 2000
GENE;1;1;(Minardi);0,0011650694444444;0,0012;MALESIA ;22 ottobre 2000
MAZZACANE;1;;(Minardi);0,0010961226851852;0,0011;AUSTRALIA ;12 marzo 2000
MAZZACANE;1;;(Minardi);0,0008971296296296;0,0009;BRASILE ;26 marzo 2000
MAZZACANE;1;;(Minardi);0,0010203819444444;0,0010;SANMARINO;9 aprile 2000
MAZZACANE;1;;(Minardi);0,0010321064814815;0,0010;GRAN BRETAGNA;23 aprile 2000
MAZZACANE;1;;(Minardi);0,0009751967592593;0,0010;SPAGNA;7 maggio 2000
MAZZACANE;1;;(Minardi);0,0009383101851852;0,0009;EUROPA;21 maggio 2000
MAZZACANE;1;;(Minardi);0,0009698379629630;0,0010;MONACO (MONTECARLO);4 giugno 2000
MAZZACANE;1;;(Minardi);0,0009501273148148;0,0010;CANADA ;18 giugno 2000
MAZZACANE;1;;(Minardi);0,0009062731481481;0,0009;FRANCIA;2 luglio 2000
MAZZACANE;1;;(Minardi);0,0008497569444444;0,0008;AUSTRIA ;16 luglio 2000
MAZZACANE;1;;(Minardi);0,0012917939814815;0,0013;GERMANIA;30 luglio 2000
MAZZACANE;1;;(Minardi);0,0009364004629630;0,0009;UNGHERIA ;13 agosto 2000
MAZZACANE;1;;(Minardi);0,0013285185185185;0,0013;BELGIAN;27 agosto 2000
MAZZACANE;1;;(Minardi);0,0010111111111111;0,0010;ITALIAN;10 settembre 2000
MAZZACANE;1;;(Minardi);0,0008889930555556;0,0009;USA ;24 settembre 2000
MAZZACANE;1;;(Minardi);0,0011627546296296;0,0012;GIAPPONE ;8 ottobre 2000
MAZZACANE;1;;(Minardi);0,0011814583333333;0,0012;MALESIA ;22 ottobre 2000
ALESI;1;1;(Prost);0,0010786689814815;0,0011;AUSTRALIA ;12 marzo 2000
ALESI;1;1;(Prost);0,0008763310185185;0,0009;BRASILE ;26 marzo 2000
ALESI;1;1;(Prost);0,0010049074074074;0,0010;SANMARINO;9 aprile 2000
ALESI;1;1;(Prost);0,0010134143518519;0,0010;GRAN BRETAGNA;23 aprile 2000
ALESI;1;1;(Prost);0,0009594212962963;0,0010;SPAGNA;7 maggio 2000
ALESI;1;1;(Prost);0,0009218865740741;0,0009;EUROPA;21 maggio 2000
ALESI;1;1;(Prost);0,0009316435185185;0,0009;MONACO (MONTECARLO);4 giugno 2000
ALESI;1;1;(Prost);0,0009318518518519;0,0009;CANADA ;18 giugno 2000
ALESI;1;1;(Prost);0,0008977893518519;0,0009;FRANCIA;2 luglio 2000
ALESI;1;1;(Prost);0,0008368518518519;0,0008;AUSTRIA ;16 luglio 2000
ALESI;1;1;(Prost);0,0012764930555556;0,0013;GERMANIA;30 luglio 2000
ALESI;1;1;(Prost);0,0009215972222222;0,0009;UNGHERIA ;13 agosto 2000
